,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1232,1233,130.0,1.0,USA,40000000.0,53082743.0,844052,1100.0,341.0,49000,22000.0,23000.0,20000.0,19000.0,63986,8.5,Excellent
1043,1044,89.0,0.0,USA,1500000.0,,1263,32.0,32.0,352,42.0,598.0,555.0,235.0,2353,4.6,Fair
3854,3855,105.0,6.0,Mexico,,1391770.0,1592,14.0,16.0,0,5.0,274.0,154.0,122.0,793,6.0,Fair
3306,3307,92.0,1.0,USA,9000000.0,4881867.0,15200,76.0,129.0,1000,26.0,1000.0,1000.0,611.0,3767,6.4,Good
4529,4530,145.0,0.0,USA,960000.0,117235247.0,375240,542.0,141.0,0,80.0,13000.0,1000.0,794.0,16094,8.1,Excellent
3710,3711,127.0,0.0,USA,5000000.0,,22123,108.0,69.0,0,130.0,617.0,53.0,51.0,799,7.2,Good
1565,1566,100.0,4.0,USA,30000000.0,22525921.0,60596,158.0,260.0,13000,35.0,12000.0,10000.0,7000.0,32094,5.9,Fair
803,804,122.0,0.0,USA,55000000.0,22362500.0,35599,195.0,115.0,641,2000.0,11000.0,1000.0,1000.0,15275,6.1,Good
195,196,165.0,0.0,Australia,130000000.0,49551662.0,102338,450.0,245.0,0,1000.0,309.0,284.0,165.0,921,6.6,Good
2034,2035,95.0,1.0,USA,24000000.0,16964743.0,22844,140.0,84.0,876,126.0,2000.0,989.0,886.0,4681,5.6,Fair
2566,2567,88.0,0.0,USA,16000000.0,14792779.0,24256,91.0,64.0,0,11000.0,854.0,410.0,233.0,1653,7.6,Good
3862,3863,102.0,0.0,Spain,,199652.0,7390,40.0,92.0,0,3.0,820.0,356.0,327.0,1950,6.6,Good
3676,3677,97.0,0.0,France,5500000.0,3629758.0,44151,110.0,112.0,0,25.0,517.0,86.0,57.0,745,7.9,Good
2471,2472,90.0,1.0,Canada,11000000.0,,4693,49.0,45.0,0,78.0,2000.0,1000.0,720.0,4142,6.3,Good
493,494,87.0,0.0,USA,80000000.0,36073232.0,8913,66.0,113.0,0,43.0,882.0,396.0,210.0,1971,5.2,Fair
4105,4106,110.0,0.0,USA,3500000.0,2848578.0,3942,65.0,19.0,0,13.0,439.0,399.0,221.0,1567,6.3,Good
4015,4016,96.0,0.0,USA,3500000.0,,961,12.0,4.0,211,0.0,708.0,574.0,460.0,2307,4.8,Fair
1749,1750,83.0,0.0,USA,24000000.0,100491683.0,14005,67.0,45.0,418,5.0,971.0,503.0,368.0,3438,5.9,Fair
356,357,90.0,1.0,USA,100000000.0,124870275.0,152601,156.0,191.0,0,97.0,622.0,526.0,56.0,1227,7.0,Good
4320,4321,86.0,0.0,Ireland,,,6585,53.0,98.0,0,5.0,121.0,94.0,47.0,322,5.7,Fair
1688,1689,108.0,1.0,USA,30000000.0,16930884.0,65628,262.0,158.0,0,50.0,14000.0,975.0,494.0,16722,5.9,Fair
3284,3285,120.0,6.0,USA,9000000.0,34074895.0,6525,79.0,32.0,0,92.0,1000.0,886.0,862.0,5420,6.7,Good
1724,1725,92.0,0.0,USA,30000000.0,,36487,114.0,130.0,0,165.0,26000.0,947.0,700.0,29773,5.6,Fair
3280,3281,130.0,1.0,UK,9000000.0,63600000.0,82073,275.0,129.0,0,92.0,244.0,189.0,177.0,1164,7.0,Good
2438,2439,109.0,0.0,USA,18000000.0,13491653.0,23728,213.0,104.0,813,128.0,11000.0,2000.0,1000.0,14995,6.1,Good
3115,3116,109.0,1.0,USA,10000000.0,33000000.0,9424,109.0,55.0,0,78.0,854.0,841.0,619.0,3394,6.9,Good
3823,3824,94.0,0.0,UK,2800000.0,1247453.0,11202,123.0,122.0,750,187.0,1000.0,887.0,427.0,3690,6.8,Good
2490,2491,110.0,2.0,USA,17500000.0,19179969.0,54710,177.0,91.0,0,422.0,33000.0,459.0,422.0,35345,6.3,Good
2284,2285,103.0,1.0,UK,20000000.0,11034436.0,13505,180.0,137.0,0,350.0,5000.0,378.0,99.0,5637,7.1,Good
3560,3561,102.0,3.0,USA,6500000.0,16842303.0,59474,418.0,137.0,0,218.0,900.0,563.0,376.0,2475,7.3,Good
4097,4098,87.0,3.0,USA,3500000.0,3071947.0,18711,183.0,49.0,0,18.0,3000.0,2000.0,844.0,9555,5.4,Fair
1792,1793,145.0,1.0,Spain,24000000.0,,10266,84.0,31.0,0,13.0,10000.0,1000.0,278.0,11669,6.1,Good
4579,4580,124.0,6.0,Germany,,621240.0,4999,32.0,100.0,0,13.0,20.0,13.0,7.0,42,7.4,Good
3919,3920,90.0,0.0,USA,,4613815.0,19622,58.0,46.0,931,0.0,812.0,466.0,242.0,1566,6.0,Fair
4039,4040,136.0,0.0,USA,2300000.0,,140527,447.0,215.0,13000,2000.0,917.0,563.0,449.0,2997,8.0,Good
447,448,87.0,0.0,USA,75000000.0,133103929.0,22838,56.0,91.0,0,31.0,1000.0,1000.0,733.0,4073,4.4,Fair
2947,2948,121.0,2.0,USA,12000000.0,22905674.0,121676,290.0,128.0,0,131.0,13000.0,940.0,599.0,14890,7.4,Good
1803,1804,116.0,4.0,USA,27000000.0,69586544.0,15352,199.0,93.0,0,144.0,1000.0,482.0,477.0,3845,6.0,Fair
4700,4701,103.0,0.0,UK,400000.0,,474,8.0,21.0,203,2.0,628.0,474.0,442.0,1683,7.4,Good
2410,2411,131.0,0.0,UK,19800000.0,41300105.0,65201,651.0,187.0,0,500.0,1000.0,559.0,555.0,3261,7.3,Good
1359,1360,127.0,0.0,USA,38000000.0,41997790.0,125305,343.0,302.0,39000,123.0,14000.0,924.0,904.0,17551,6.4,Good
1059,1060,93.0,1.0,USA,14000000.0,,172489,376.0,145.0,0,270.0,13000.0,954.0,535.0,15192,7.7,Good
2390,2391,97.0,3.0,USA,18000000.0,150056505.0,216581,397.0,351.0,21000,89.0,920.0,798.0,329.0,2771,6.4,Good
1381,1382,115.0,0.0,Russia,29500000.0,,4387,21.0,14.0,240,35.0,463.0,35.0,30.0,599,5.3,Fair
1921,1922,104.0,0.0,USA,17000000.0,35143332.0,45102,316.0,167.0,0,108.0,296.0,270.0,177.0,1340,5.6,Fair
2911,2912,108.0,5.0,Canada,15000000.0,1039869.0,14757,51.0,117.0,0,60.0,18000.0,322.0,168.0,18739,6.2,Good
2767,2768,145.0,0.0,USA,14000000.0,70001698.0,76842,173.0,72.0,4000,0.0,10000.0,854.0,560.0,12098,7.2,Good
4190,4191,99.0,0.0,Canada,3200000.0,,1003,5.0,9.0,39,0.0,50.0,16.0,6.0,79,6.6,Good
3677,3678,92.0,0.0,Canada,5000000.0,6239558.0,5548,67.0,67.0,352,9.0,636.0,210.0,71.0,1033,6.7,Good
2209,2210,88.0,8.0,USA,20000000.0,32014289.0,50337,177.0,153.0,13000,92.0,31000.0,881.0,636.0,34319,3.5,Bad
1642,1643,118.0,1.0,USA,,42643187.0,34910,145.0,95.0,0,0.0,696.0,663.0,543.0,2577,7.2,Good
4458,4459,105.0,0.0,USA,1250000.0,,39,2.0,,32,0.0,883.0,655.0,467.0,3164,7.1,Good
3143,3144,129.0,1.0,USA,10000000.0,16153600.0,8295,30.0,23.0,720,0.0,18000.0,269.0,203.0,19065,6.5,Good
3506,3507,60.0,1.0,USA,,,42402,83.0,27.0,0,,787.0,485.0,346.0,2352,7.7,Good
1280,1281,112.0,0.0,USA,500000.0,32645.0,67797,223.0,112.0,0,17000.0,22000.0,926.0,354.0,23737,7.4,Good
207,208,174.0,2.0,USA,125000000.0,217536138.0,314253,1966.0,294.0,0,2000.0,15000.0,574.0,362.0,16008,6.6,Good
1667,1668,106.0,0.0,USA,30000000.0,32154410.0,148327,274.0,450.0,29000,0.0,17000.0,681.0,273.0,18469,7.1,Good
